Afinidad electrÃ³nica,Potencial de IonizaciÃ³n,Electronegatividad,Potencial QuÃ­mico,Electrofilicidad,Dureza,Blandura,Homo ,Lumo,Poder electrodonador,Poder electroaceptor,Electrofilicidad neta,Nucleofilicidad,Peso molecular,LOGP,Angulos rotables,Aceptores,Donadores,Area superficial,Solubilidad acuosa,Permeabilidad Caco2 ,Intestinal absorption (human),Skin Permeability,P-glycoprotein substrate,P-glycoprotein I inhibitor,P-glycoprotein II inhibitor,VDss (human),Fraction unbound (human),BBB permeability,CNS permeability,CYP2D6 substrate,CYP3A4 substrate,CYP1A2 inhibitior,CYP2C19 inhibitior,CYP2C9 inhibitior,CYP2D6 inhibitior,CYP3A4 inhibitior,Total Clearance,Renal OCT2 substrate,AMES toxicity,Max. tolerated dose (human),hERG I inhibitor,hERG II inhibitor,Oral Rat Acute Toxicity (LD50),Oral Rat Chronic Toxicity (LOAEL),Hepatotoxicity,Skin Sensitisation,<i>T.Pyriformis</i> toxicity,Minnow toxicity,Volume,GPCR Ligand,Ion channel modulator,Kinase inhibitor,Nuclear receptor ligand,Protease inhibidor,Enzyme inhibidor
0.7500,5.7300,3.2400,-3.2400,2.1100,2.4900,0.4016,-5.7300,-0.7500,0.7992,4.0392,4.8384,3.0625,344.4500,5.4268,7.0000,2.0000,1.0000,154.9530,-6.1950,1.2570,99.3320,-2.7340,Yes,Yes,Yes,-0.1210,0.1430,1.0720,-1.4470,No,Yes,Yes,Yes,Yes,No,Yes,0.2630,No,Yes,0.5300,No,Yes,2.6100,2.2480,No,No,0.3180,0.1090,338.2500,0.2650,-0.0280,-0.0680,0.6600,0.0500,0.3880
0.7700,5.7000,3.2300,-3.2300,2.1200,2.4600,0.4065,-5.7000,-0.7700,0.8134,4.0484,4.8618,3.0925,399.5200,5.9128,8.0000,2.0000,0.0000,179.1750,-6.4370,1.4390,100.0000,-2.7310,Yes,Yes,Yes,-0.1340,0.1170,1.0220,-1.4410,No,Yes,Yes,Yes,Yes,No,Yes,0.4460,No,Yes,0.3120,No,Yes,2.7600,1.5170,Yes,No,0.3020,-1.0880,395.1200,0.2420,-0.1100,-0.1100,0.4010,0.0840,0.2890
0.7700,5.7200,3.2400,-3.2400,2.1300,3.4800,0.2874,-5.7200,-0.7700,0.8142,4.0592,4.8733,3.0725,372.4600,5.9092,8.0000,2.0000,1.0000,165.4800,-5.1370,1.4270,100.0000,-2.7350,Yes,No,No,-1.1760,0.0480,-0.6260,-1.5270,No,Yes,No,Yes,Yes,No,No,0.2910,No,No,0.4270,No,No,2.7780,2.0500,Yes,No,0.2870,-1.2830,357.2300,0.2950,0.0190,-0.1490,0.7270,0.1120,0.4100
0.7700,5.7400,3.2600,-3.2600,2.1300,2.5000,0.4000,-5.7400,-0.7700,0.8149,4.0699,4.8848,3.0525,360.5100,6.3643,7.0000,2.0000,1.0000,161.3140,-6.4460,1.2470,98.2830,-2.7380,Yes,Yes,Yes,-0.0080,0.1380,1.2920,-1.3580,No,Yes,Yes,Yes,No,Yes,Yes,0.1060,No,Yes,0.5200,No,Yes,2.6070,0.5770,No,No,0.3150,-0.1480,347.8900,0.1830,-0.1660,-0.1550,0.6050,0.1600,0.4600
1.1700,6.3600,3.6281,-3.6281,1.3389,4.9155,0.2034,-6.3600,-1.1700,1.1731,4.9381,6.1113,2.4325,1597.2200,-5.5937,29.0000,26.0000,18.0000,648.8000,-2.8920,-0.8250,0.0000,-2.7350,Yes,No,No,-0.5770,0.3420,-3.5350,-7.1020,No,No,No,No,No,No,No,-1.7870,No,No,0.4990,No,Yes,2.4810,5.1780,Yes,No,0.2850,21.4030,1447.2700,-3.9900,-4.0400,-4.0500,-4.0500,-3.9500,-3.9900
1.0900,6.1000,3.5956,-3.5956,1.2894,5.0132,0.1995,-6.1000,-1.0900,1.0953,4.6903,5.7855,2.6925,1580.1900,-4.4057,28.0000,25.0000,17.0000,642.7700,-2.8920,-0.8620,0.0000,-2.7350,Yes,No,No,-0.5450,0.3390,-3.5690,-6.7470,No,No,No,No,No,No,No,0.0250,No,No,0.5040,No,Yes,2.4810,4.8180,Yes,No,0.2850,20.2970,1429.7400,-3.9900,-4.0400,-4.0600,-4.0500,-3.9500,-3.9900
0.9900,6.2600,3.6227,-3.6227,1.2460,5.2665,0.1899,-6.2600,-0.9900,1.0104,4.6354,5.6457,2.5325,1451.0800,-4.0944,27.0000,22.0000,16.0000,591.8000,-2.8920,-0.7170,0.0000,-2.7350,Yes,No,No,-0.8250,0.3220,-3.1810,-6.4450,No,No,No,No,No,No,No,-1.6600,No,No,0.5210,No,Yes,2.4820,4.5080,Yes,No,0.2850,20.0660,1323.4100,-3.9400,-4.0000,-4.0100,-4.0000,-3.8900,-4.0500
1.0300,6.1900,3.6066,-3.6066,1.2615,5.1555,0.1940,-6.1900,-1.0300,1.0431,4.6531,5.6962,2.6025,1562.7800,-4.4100,29.0000,38.0000,20.0000,576.4500,-2.8920,-0.8730,0.0000,-2.7350,Yes,No,No,-0.5970,0.3420,-3.4500,-7.1550,No,No,No,No,No,No,No,-1.7050,No,No,0.5010,No,Yes,2.4790,4.7200,Yes,No,0.2850,21.1590,1433.7100,-3.9800,-4.0300,-4.0500,-4.0400,-3.9400,-3.9800
1.2100,6.0700,3.6397,-3.6397,1.3617,4.8640,0.2056,-6.0700,-1.2100,1.2100,4.8500,6.0600,2.7225,1579.2100,-3.1300,28.0000,37.0000,19.0000,556.2300,-2.8920,-0.7830,0.0000,-2.7350,Yes,No,No,-0.6080,0.3410,-3.4960,-6.7550,No,No,No,No,No,No,No,-1.8220,No,No,0.5150,No,Yes,2.4800,4.9660,Yes,No,0.2850,19.6890,1433.0200,-3.9900,-4.0400,-4.0600,-4.0500,-3.9500,-3.9900
1.0600,6.1300,3.5969,-3.5969,1.2771,5.0654,0.1974,-6.1300,-1.0600,1.0685,4.6635,5.7320,2.6625,1563.2100,-2.1900,28.0000,36.0000,18.0000,536.0000,-2.8920,-0.6610,0.0000,-2.7350,Yes,No,No,-0.6280,0.3420,-3.3090,-6.5070,No,No,No,No,No,No,No,-1.8330,No,No,0.5190,No,Yes,2.4810,5.0150,Yes,No,0.2850,18.9270,1425.3200,-3.9800,-4.0400,-4.0600,-4.0500,-3.9500,-3.9800
