ID,Afinidad electronica,Potencial de ionizacion,Electronegatividad,Potencial quimico,Electrofilicidad,Dureza,Blandura,Homo ,Lumo,Poder electrodonador,Poder electroaceptor,Electrofilicidad neta,Nucleofilicidad,Peso molecular,LOGP,Angulos rotables,Aceptores,Donadores,Area superficial,Solubilidad acuosa,Permeabilidad Caco2 ,Absorción intestinal (humana),Permeabilidad de la piel,Sustrato de la glicoproteína P,Inhibidor de la P-glicoproteína I ,Inhibidor de la P-glicoproteína II,VDss (humano),Fracción no consolidada (humana),Permeabilidad BBB,Permeabilidad del SNC,Sustrato del CYP2D6,Sustrato del CYP3A4,Inhibidor de CYP1A2,Inhibidor de CYP2C19,Inhibidor de CYP2C9,Inhibidor de CYP2D6,Inhibidor de CYP3A4,Liquidación total,Sustrato renal de OCT2,Toxicidad AMES,Dosis máxima tolerada (humana),Inhibidor de hERG I,Inhibidor de hERG II,Toxicidad aguda oral en ratas (DL50),Toxicidad crónica oral en ratas (LOAEL),Hepatotoxicidad,Sensibilización cutánea,Toxicidad de T. Pyriformis,Toxicidad de los pececillos,Volumen, Ligando GPCR ,Modulador del canal iónico,Inhibidor de quinasa,Ligando del receptor nuclear,Inhibidor de proteasa,Inhibidor de enzima
1,0.75,5.73,3.24,-3.24,2.11,2.49,0.4016,-5.73,-0.75,0.7992,4.0392,4.8384,3.0625,344.45,5.4268,7,2,1,154.953,-6.195,1.257,99.332,-2.734,1,1,1,-0.121,0.143,1.072,-1.447,0,1,1,1,1,0,1,0.263,0,1,0.53,0,1,2.61,2.248,0,0,0.318,0.109,338.25,0.265,-0.028,-0.068,0.66,0.05,0.388
2,0.77,5.7,3.23,-3.23,2.12,2.46,0.4065,-5.7,-0.77,0.8134,4.0484,4.8618,3.0925,399.52,5.9128,8,2,0,179.175,-6.437,1.439,100,-2.731,1,1,1,-0.134,0.117,1.022,-1.441,0,1,1,1,1,0,1,0.446,0,1,0.312,0,1,2.76,1.517,1,0,0.302,-1.088,395.12,0.242,-0.11,-0.11,0.401,0.084,0.289
3,0.77,5.72,3.24,-3.24,2.13,3.48,0.2874,-5.72,-0.77,0.8142,4.0592,4.8733,3.0725,372.46,5.9092,8,2,1,165.48,-5.137,1.427,100,-2.735,1,0,0,-1.176,0.048,-0.626,-1.527,0,1,0,1,1,0,0,0.291,0,0,0.427,0,0,2.778,2.05,1,0,0.287,-1.283,357.23,0.295,0.019,-0.149,0.727,0.112,0.41
4,0.77,5.74,3.26,-3.26,2.13,2.5,0.4,-5.74,-0.77,0.8149,4.0699,4.8848,3.0525,360.51,6.3643,7,2,1,161.314,-6.446,1.247,98.283,-2.738,1,1,1,-0.008,0.138,1.292,-1.358,0,1,1,1,0,1,1,0.106,0,1,0.52,0,1,2.607,0.577,0,0,0.315,-0.148,347.89,0.183,-0.166,-0.155,0.605,0.16,0.46
5,1.17,6.36,3.6281,-3.6281,1.3389,4.9155,0.2034,-6.36,-1.17,1.1731,4.9381,6.1113,2.4325,1597.22,-5.5937,29,26,18,648.8,-2.892,-0.825,0,-2.735,1,0,0,-0.577,0.342,-3.535,-7.102,0,0,0,0,0,0,0,-1.787,0,0,0.499,0,1,2.481,5.178,1,0,0.285,21.403,1447.27,-3.99,-4.04,-4.05,-4.05,-3.95,-3.99
6,1.09,6.1,3.5956,-3.5956,1.2894,5.0132,0.1995,-6.1,-1.09,1.0953,4.6903,5.7855,2.6925,1580.19,-4.4057,28,25,17,642.77,-2.892,-0.862,0,-2.735,1,0,0,-0.545,0.339,-3.569,-6.747,0,0,0,0,0,0,0,0.025,0,0,0.504,0,1,2.481,4.818,1,0,0.285,20.297,1429.74,-3.99,-4.04,-4.06,-4.05,-3.95,-3.99
7,0.99,6.26,3.6227,-3.6227,1.246,5.2665,0.1899,-6.26,-0.99,1.0104,4.6354,5.6457,2.5325,1451.08,-4.0944,27,22,16,591.8,-2.892,-0.717,0,-2.735,1,0,0,-0.825,0.322,-3.181,-6.445,0,0,0,0,0,0,0,-1.66,0,0,0.521,0,1,2.482,4.508,1,0,0.285,20.066,1323.41,-3.94,-4,-4.01,-4,-3.89,-4.05
8,1.03,6.19,3.6066,-3.6066,1.2615,5.1555,0.194,-6.19,-1.03,1.0431,4.6531,5.6962,2.6025,1562.78,-4.41,29,38,20,576.45,-2.892,-0.873,0,-2.735,1,0,0,-0.597,0.342,-3.45,-7.155,0,0,0,0,0,0,0,-1.705,0,0,0.501,0,1,2.479,4.72,1,0,0.285,21.159,1433.71,-3.98,-4.03,-4.05,-4.04,-3.94,-3.98
9,1.21,6.07,3.6397,-3.6397,1.3617,4.864,0.2056,-6.07,-1.21,1.21,4.85,6.06,2.7225,1579.21,-3.13,28,37,19,556.23,-2.892,-0.783,0,-2.735,1,0,0,-0.608,0.341,-3.496,-6.755,0,0,0,0,0,0,0,-1.822,0,0,0.515,0,1,2.48,4.966,1,0,0.285,19.689,1433.02,-3.99,-4.04,-4.06,-4.05,-3.95,-3.99
10,1.06,6.13,3.5969,-3.5969,1.2771,5.0654,0.1974,-6.13,-1.06,1.0685,4.6635,5.732,2.6625,1563.21,-2.19,28,36,18,536,-2.892,-0.661,0,-2.735,1,0,0,-0.628,0.342,-3.309,-6.507,0,0,0,0,0,0,0,-1.833,0,0,0.519,0,1,2.481,5.015,1,0,0.285,18.927,1425.32,-3.98,-4.04,-4.06,-4.05,-3.95,-3.98
