Afinidad electronica,Potencial de ionizacion,Electronegatividad,Potencial quimico,Electrofilicidad,Dureza,Blandura,Homo ,Lumo,Poder electrodonador,Poder electroaceptor,Electrofilicidad neta,Nucleofilicidad,Peso molecular,LOGP,Angulos rotables,Aceptores,Donadores,Area superficial,Solubilidad acuosa,Permeabilidad Caco2 ,Intestinal absorption (human),Skin Permeability,P-glycoprotein substrate,P-glycoprotein I inhibitor,P-glycoprotein II inhibitor,VDss (human),Fraction unbound (human),BBB permeability,CNS permeability,CYP2D6 substrate,CYP3A4 substrate,CYP1A2 inhibitior,CYP2C19 inhibitior,CYP2C9 inhibitior,CYP2D6 inhibitior,CYP3A4 inhibitior,Total Clearance,AMES toxicity,Max. tolerated dose (human),hERG I inhibitor,hERG II inhibitor,Oral Rat Acute Toxicity (LD50),Oral Rat Chronic Toxicity (LOAEL),Hepatotoxicity,Skin Sensitisation,Volume
-1.683706049,7.131059297,2.723609044,-2.723609044,0.841547782,4.407382673,0.22689203,-5.562867388,0.1156493,2.754350691,0.030674067,2.785024757,3.229632612,218.256,1.5521,3,2,3,93.288,-2.65,0.707,90.836,-3.064,1,0,0,0.277,0.337,-0.217,-2.496,0,0,1,0,0,0,0,0.54,0,0.773,0,0,2.298,1.129,0,0,204.7
-1.129969581,7.536062955,3.147565772,-3.147565772,1.143218681,4.333016268,0.230786117,-5.938115352,-0.357016192,3.327026394,0.123979707,3.4510061,2.854384648,235.308,1.5966,2,4,4,99.908,-2.361,1.152,96.64,-2.861,0,0,0,0.646,0.513,0.132,-3.644,1,0,0,0,0,0,0,1.192,0,-0.177,0,0,2.616,1.396,0,0,212
-1.433309477,7.601905585,3.059672304,-3.059672304,1.036123052,4.517607531,0.221356103,-6.028457864,-0.090886744,3.159718596,0.075420542,3.235139139,2.764042136,203.31,2.1854,2,2,2,90.319,-2.317,1.339,92.975,-2.257,0,0,0,1.162,0.533,0.733,-1.802,1,0,0,0,0,0,0,1.338,0,0.062,0,0,2.689,1.769,1,0,196.9
-1.764297121,7.213380537,2.663607466,-2.663607466,0.790271717,4.488838829,0.222774762,-5.558513532,0.2312986,2.750218439,0.025676731,2.775895171,3.233986468,186.258,1.4789,2,2,2,84.504,-1.973,1.293,94.717,-2.989,1,0,0,1.056,0.552,-0.076,-1.773,0,0,0,0,0,0,0,1.313,0,0.091,0,0,2.739,1.953,0,0,189.6
-2.090012816,7.048620068,2.459792582,-2.459792582,0.662088041,4.569316442,0.218851115,-5.245852248,0.326267084,2.483449414,0.004145788,2.487595202,3.546647752,169.136,0.4087,0,5,3,67.946,-1.486,0.709,76.548,-2.97,0,0,0,-0.141,0.656,-0.912,-3.393,0,0,0,0,0,0,0,0.221,1,0.329,0,0,1.962,1.602,0,0,138.7
-2.243531275,7.373545919,2.53680141,-2.53680141,0.669159794,4.808538597,0.207963393,-5.579194348,0.505591528,2.567693867,0.002686545,2.570380412,3.213305652,186.119,0.2377,0,6,4,72.195,-1.784,0.193,52.148,-2.834,0,0,0,0.14,0.524,-1.373,-3.789,0,0,0,0,0,0,0,0.347,0,-0.312,0,0,1.826,2.886,0,0,143.3
-2.392224465,7.117553799,2.339109136,-2.339109136,0.575347963,4.754889132,0.210309846,-5.3334736,0.655255328,2.362687638,2.29706E-05,2.362710608,3.4590264,185.135,0.1143,0,6,4,72.74,-1.788,0.194,60.108,-2.759,0,0,0,-0.269,0.474,-1.253,-4.177,0,0,0,0,0,0,0,0.245,0,0.757,0,0,2.375,2.734,0,0,146.9
-2.370501744,7.24942173,2.420063646,-2.420063646,0.608810254,4.809961737,0.207901862,-5.463272932,0.62314564,2.439583571,0.000123578,2.439707149,3.329227068,185.135,0.1143,0,6,4,72.74,-1.89,0.152,64.925,-2.782,1,0,0,-0.273,0.7,-1.284,-4.191,0,0,0,0,0,0,0,0.18,0,0.395,0,0,2.091,2.572,0,0,145.8
0.572539166,7.876641055,4.173715208,-4.173715208,2.384947377,3.652050944,0.273818743,-6.402345248,-1.945085168,5.012245104,0.787654993,5.799900097,2.390154752,224.259,3.2883,3,2,1,99.849,-3.99,1.425,93.174,-2.23,0,0,0,0.187,0,0.181,-1.56,0,1,1,1,0,0,0,0.2,0,0.828,0,0,1.99,2.543,0,1,218.4
0.429525419,7.471892941,3.888265524,-3.888265524,2.146807695,3.521183761,0.283995403,-5.99471548,-1.781815568,4.631817312,0.681108132,5.312925443,2.79778452,240.258,2.9939,3,3,2,104.644,-3.239,1.281,90.2,-2.746,1,0,0,0.057,0.03,-0.169,-2.097,0,1,1,1,1,0,1,0.117,0,0.46,0,0,2.032,1.97,0,0,223
0.527412047,7.652499623,4.088406842,-4.088406842,2.345945973,3.562543788,0.280698304,-6.295131544,-1.88168214,4.838019839,0.748064004,5.586083843,2.497368456,240.258,2.9939,3,3,2,104.644,-3.245,1.246,92.355,-2.936,1,0,0,0.119,0.096,-0.18,-2.074,0,0,1,1,1,0,1,0.186,0,0.452,0,0,2.113,1.817,0,0,223.5
0.567715448,7.715358936,4.113305456,-4.113305456,2.367113273,3.573821744,0.279812501,-6.287512296,-1.939098616,4.917214535,0.775677343,5.692891877,2.504987704,240.258,2.9939,3,3,2,104.644,-3.301,1.316,90.77,-2.81,0,0,0,-0.205,0.116,0.045,-2.045,0,0,1,1,1,0,0,0.203,0,0.393,0,0,1.946,2.225,0,0,226.2
